time,ksp_x,ksd_x,kp_x,error_x,osc_x,ksp_y,ksd_y,kp_y,error_y,osc_y,ksp_z,ksd_z,kp_z,error_z,osc_z,ksp_psi,ksd_psi,kp_psi,error_psi,osc_psi
1770504976.8491373,0.6209999999999999,1.5,0.315,0.18019511170293315,0,0.6209999999999999,1.5,0.315,1.2344378256158461,0,1.8,4.635,0.57,0.07993498927893866,0,3.1049999999999995,5.5,0.8400000000000001,1.1857609155101374,0
1770504979.849245,0.6427349999999998,1.5,0.33075000000000004,0.08789936680413245,0,0.6427349999999998,1.5,0.33075000000000004,0.7687329658732386,0,1.8,4.635,0.57,0.0031613016505102165,1,3.1049999999999995,5.5,0.8400000000000001,0.007889048513862058,0
1770504982.849414,0.6427349999999998,1.5,0.33075000000000004,0.042455829589910704,0,0.6652307249999998,1.5,0.3472875000000001,0.4472793156241081,0,1.8,4.635,0.57,0.0012016839625011149,0,3.1049999999999995,5.5,0.8400000000000001,0.0017009332541807155,0
1770504985.8490477,0.6652307249999998,1.5,0.3472875000000001,0.979219798912474,1,0.6885138003749998,1.5,0.3646518750000001,0.24398775782862572,0,1.8,4.77405,0.5415,0.13503823938935916,0,3.2136749999999994,5.5,0.8820000000000001,4.607568144491934,0
1770504988.8491433,0.6885138003749998,1.5,0.3646518750000001,0.9053389308005884,0,0.7126117833881247,1.5,0.38288446875000015,0.11973819513565101,0,1.8,4.9172715,0.5144249999999999,0.018473948812440917,1,3.326153624999999,5.5,0.9261000000000001,6.297564871332757,0
1770504991.8491247,0.7126117833881247,1.5,0.38288446875000015,0.543536421189025,0,0.7126117833881247,1.5,0.38288446875000015,0.057335346086258496,0,1.8,4.9172715,0.5144249999999999,0.0024838385615307676,0,3.4425690018749986,5.5,0.9724050000000002,6.285892477096624,0
1770504994.8490849,0.7126117833881247,1.545,0.3637402453125001,0.38182441728649597,0,0.737553195806709,1.5,0.4020286921875002,0.29619893290502114,1,1.8,5.064789645,0.4887037499999999,0.05476067745975506,0,3.5630589169406233,5.5,1.0210252500000003,4.469143941739851,0
1770504997.849072,0.7126117833881247,1.59135,0.3455532330468751,0.2914990020904076,0,0.7633675576599437,1.5,0.4221301267968752,0.37965823535768695,1,1.8,5.064789645,0.4887037499999999,0.016481596839922473,1,3.6877659790335446,5.5,1.0720765125000005,0.11990650738121725,0
1770505000.849013,0.7126117833881247,1.6390905,0.3282755713945313,0.18404252021414536,0,0.7900854221780417,1.5,0.443236633136719,0.236666556812136,2,1.8,5.064789645,0.4887037499999999,0.0017111629287025773,0,3.6877659790335446,5.5,1.0720765125000005,0.030767902124023867,0
1770505003.8492918,0.737553195806709,1.6390905,0.3446893499642579,0.1336774811763852,0,0.8177384119542731,1.5,0.465398464793555,0.1667840822930926,0,1.8,5.064789645,0.4887037499999999,0.013618201512180808,1,3.6877659790335446,5.5,1.0720765125000005,0.06236219808867652,0
