time,x,y,z,yaw,linx,liny,linz,yaw_rate,xd,yd,zd,yawd,vxd,vyd,vzd,wyawd,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1770508671.963307,0.321783,0.530416,1.499794,2.580509,0.109932,0.129097,-0.190218,0.374360,0,0,0,0,0,0,0,0,0.133622,-0.351506,-0.065271,0.175090
1770508671.996692,0.315682,0.533711,1.497708,2.605037,0.114048,0.125446,-0.185543,0.398422,0,0,0,0,0,0,0,0,0.118102,-0.357632,-0.062451,0.156374
1770508672.029919,0.305121,0.540715,1.491478,2.626223,0.124656,0.121144,-0.186337,0.413579,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.102372,-0.362664,-0.059716,0.136675
1770508672.063375,0.299826,0.544405,1.488675,2.644174,0.128258,0.117031,-0.183628,0.423853,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.083166,-0.366185,-0.056482,0.116491
1770508672.096655,0.296740,0.546405,1.487099,2.659508,0.128201,0.112879,-0.178905,0.421633,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.064224,-0.368293,-0.053261,0.096252
1770508672.130133,0.288708,0.553007,1.486710,2.671605,0.136079,0.107401,-0.173871,0.416170,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.047256,-0.369007,-0.050230,0.076295
1770508672.163367,0.278130,0.562483,1.482532,2.681255,0.147805,0.100530,-0.173809,0.404175,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.028112,-0.367601,-0.047517,0.056966
1770508672.196628,0.278130,0.562483,1.482532,2.681255,0.147805,0.100530,-0.173809,0.404175,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.005066,-0.363450,-0.044564,0.038500
1770508672.230002,0.270821,0.569623,1.480155,2.688594,0.154269,0.094078,-0.171032,0.384656,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.015677,-0.359714,-0.041907,0.021879
1770508672.263337,0.259424,0.579510,1.474113,2.696634,0.162070,0.084519,-0.168174,0.358785,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.037626,-0.353577,-0.039259,0.006138
1770508672.296661,0.251059,0.590602,1.473341,2.697963,0.171520,0.074937,-0.164408,0.327091,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.061481,-0.343844,-0.036172,-0.008812
1770508672.329971,0.246472,0.596426,1.470449,2.697812,0.174155,0.069013,-0.162987,0.293916,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.087791,-0.330433,-0.033346,-0.022335
1770508672.363297,0.239235,0.606421,1.468876,2.696277,0.181182,0.060111,-0.159907,0.260019,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.112974,-0.315479,-0.030467,-0.034393
1770508672.396688,0.235452,0.611926,1.468241,2.693550,0.182638,0.054420,-0.155841,0.225496,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.139350,-0.297577,-0.027721,-0.044961
1770508672.429974,0.229342,0.621763,1.466174,2.689829,0.188219,0.045529,-0.153608,0.191893,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.164056,-0.278572,-0.025223,-0.054052
1770508672.463306,0.229342,0.621763,1.466174,2.689829,0.188219,0.045529,-0.153608,0.191893,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.189331,-0.256922,-0.022750,-0.061689
1770508672.496701,0.225104,0.629253,1.465022,2.685222,0.189288,0.038057,-0.148994,0.161535,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.212079,-0.237437,-0.020525,-0.068562
1770508672.530029,0.219500,0.638884,1.464228,2.679974,0.192203,0.029114,-0.143572,0.133734,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.233436,-0.216036,-0.018438,-0.074079
1770508672.563402,0.217275,0.643765,1.463057,2.674270,0.190401,0.023922,-0.139572,0.105380,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.254493,-0.192147,-0.016531,-0.078290
1770508672.596619,0.213751,0.652669,1.462671,2.668156,0.192635,0.015618,-0.135431,0.077043,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.272913,-0.167860,-0.014722,-0.081292
1770508672.630079,0.211426,0.657951,1.462295,2.661642,0.190583,0.010441,-0.130214,0.053610,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.290941,-0.141627,-0.013099,-0.083167
1770508672.663306,0.208804,0.666466,1.461654,2.655154,0.191837,0.002525,-0.126630,0.029039,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.306555,-0.115194,-0.011657,-0.083964
1770508672.696735,0.207575,0.670961,1.461446,2.648624,0.190097,-0.001805,-0.122810,0.005050,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.321585,-0.087199,-0.010326,-0.083814
1770508672.730099,0.205539,0.678791,1.461346,2.642079,0.190888,-0.008919,-0.118963,-0.016251,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.334591,-0.059586,-0.009151,-0.082815
1770508672.763354,0.204387,0.683327,1.460789,2.635645,0.188816,-0.013018,-0.115490,-0.034267,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.347037,-0.030918,-0.008129,-0.081050
1770508672.796650,0.203074,0.690465,1.460607,2.629446,0.188616,-0.019485,-0.111843,-0.050582,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.357570,-0.002812,-0.007185,-0.078609
1770508672.829975,0.202082,0.694926,1.460391,2.623389,0.185582,-0.023257,-0.107483,-0.061556,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.367299,0.025968,-0.006359,-0.075592
1770508672.863351,0.201376,0.701457,1.460091,2.617693,0.183699,-0.029091,-0.103493,-0.070956,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.374943,0.054004,-0.005644,-0.072064
1770508672.896649,0.201102,0.705016,1.460005,2.612338,0.179777,-0.032048,-0.099277,-0.078376,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.381268,0.082391,-0.005014,-0.068124
1770508672.930119,0.201235,0.710021,1.460128,2.607415,0.177070,-0.036597,-0.095363,-0.085561,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.385388,0.109646,-0.004490,-0.063855
1770508672.963280,0.201350,0.712803,1.460008,2.602867,0.173155,-0.038836,-0.091820,-0.090799,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.388089,0.136662,-0.004082,-0.059354
