time,ksp_x,ksd_x,kp_x,ksp_y,ksd_y,kp_y,ksp_z,ksd_z,kp_z,ksp_psi,ksd_psi,kp_psi,kd_x,kd_y,kd_z,kd_psi,error_x,error_y
1770507590.5688558,1.01,8.65,0.32,0.94,8.14,0.598,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0
1770507600.5687733,0.9696,8.0,0.32,0.94,8.0,0.598,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.49337625446106587,0.16781096053469075
1770507610.5689092,0.9696,8.0,0.32,0.94,8.0,0.598,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.29686501015795946,0.2343968287009246
1770507620.5688508,0.9696,8.0,0.32,0.9023999999999999,8.0,0.598,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.3314642920977798,0.2402418578102681
1770507630.5688179,0.9696,8.0,0.32,0.9023999999999999,8.0,0.598,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.35698162384763665,0.3419446869848811
1770507640.5688467,0.9696,8.0,0.32,0.8663039999999999,8.0,0.598,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.3535942639296377,0.21117113296538478
1770507650.568851,0.930816,8.0,0.32,0.8663039999999999,8.0,0.598,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.5005484707086778,0.19222395061045627
1770507660.569,0.930816,8.0,0.32,0.8663039999999999,8.0,0.598,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.3464569433303574,0.21408287113168697
1770507670.5689187,0.930816,8.0,0.32,0.8663039999999999,8.0,0.5680999999999999,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.34614727076968343,0.13208463677895976
1770507680.5688026,0.930816,8.0,0.32,0.8663039999999999,8.0,0.5680999999999999,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.40828832814776095,0.3425197899073681
1770507690.5689147,0.930816,8.0,0.32,0.8316518399999998,8.0,0.5680999999999999,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.3236969435367791,0.4254144013918902
1770507700.5688848,0.8935833599999999,8.0,0.32,0.8316518399999998,8.0,0.5680999999999999,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.4887820120715704,0.1629473771553792
1770507710.5687864,0.8935833599999999,8.0,0.32,0.8316518399999998,8.0,0.5680999999999999,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.27383025313541914,0.27462969365552986
1770507720.5688589,0.8935833599999999,8.0,0.32,0.7983857663999998,8.0,0.5680999999999999,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.37283664696383684,0.24178794336852727
1770507730.5689404,0.8935833599999999,8.0,0.32,0.7983857663999998,8.0,0.5680999999999999,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.4399228637927118,0.3737004296871848
1770507740.56886,0.8935833599999999,8.0,0.32,0.7664503357439998,8.0,0.5680999999999999,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.2957331918107574,0.38666090242291956
1770507750.5688186,0.8578400256,8.0,0.32,0.7664503357439998,8.0,0.5680999999999999,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.56349206892482,0.1753978602586743
1770507760.5688963,0.8235264245759999,8.0,0.32,0.7664503357439998,8.0,0.5680999999999999,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.37585122379170305,0.31277653752565515
1770507770.5688274,0.8235264245759999,8.0,0.32,0.7357923223142397,8.0,0.5680999999999999,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.48880665196119727,0.21379514387099108
1770507780.5689085,0.8235264245759999,8.0,0.32,0.7357923223142397,8.0,0.5680999999999999,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.4558202138606623,0.33752385120894746
1770507790.5688918,0.8235264245759999,8.0,0.32,0.7063606294216701,8.0,0.5680999999999999,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.3138377343709907,0.4447134938835662
1770507800.5687673,0.7905853675929598,8.0,0.32,0.7063606294216701,8.0,0.5680999999999999,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.5338392906151311,0.17196157240165544
1770507810.5688944,0.7905853675929598,8.0,0.32,0.7063606294216701,8.0,0.5680999999999999,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.25780595811365753,0.2746361210315405
1770507820.5687993,0.7905853675929598,8.0,0.32,0.6781062042448033,8.0,0.5680999999999999,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.4397016302209235,0.24313270405615142
1770507830.568879,0.7905853675929598,8.0,0.32,0.6781062042448033,8.0,0.5680999999999999,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.47468786681155184,0.3384081139437103
1770507840.568945,0.7905853675929598,8.0,0.32,0.6509819560750111,8.0,0.5680999999999999,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.32699334545908904,0.39585042714171687
