time,x,y,z,yaw,linx,liny,linz,yaw_rate,xd,yd,zd,yawd,vxd,vyd,vzd,wyawd,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1770509238.161990,-0.714467,-0.949404,1.850780,3.140563,-0.074753,-0.259955,-0.014296,0.000322,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.052859,-0.134138,0.001120,0.000271
1770509238.195360,-0.713424,-0.941844,1.850798,3.140581,-0.073990,-0.264657,-0.014264,0.000345,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.053815,-0.125506,0.001092,0.000270
1770509238.228664,-0.711479,-0.927436,1.850854,3.140600,-0.074122,-0.276641,-0.014228,0.000365,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.054728,-0.116907,0.001065,0.000268
1770509238.262024,-0.710222,-0.918407,1.850859,3.140619,-0.073028,-0.281141,-0.014159,0.000374,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.055716,-0.107443,0.001033,0.000266
1770509238.295410,-0.708682,-0.905049,1.850894,3.140634,-0.072912,-0.291830,-0.014091,0.000388,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.056661,-0.097980,0.001002,0.000264
1770509238.328647,-0.707747,-0.897208,1.850943,3.140652,-0.071971,-0.295621,-0.013945,0.000403,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.057633,-0.087878,0.000970,0.000262
1770509238.362014,-0.706184,-0.883192,1.850968,3.140669,-0.071778,-0.306296,-0.013833,0.000415,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.058544,-0.077966,0.000933,0.000259
1770509238.395430,-0.706184,-0.883192,1.850968,3.140669,-0.071778,-0.306296,-0.013833,0.000415,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.059484,-0.067401,0.000895,0.000256
1770509238.428771,-0.704935,-0.871908,1.850966,3.140687,-0.070339,-0.310898,-0.013684,0.000412,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.060330,-0.057893,0.000861,0.000254
1770509238.461998,-0.703457,-0.857862,1.850998,3.140703,-0.069552,-0.319487,-0.013495,0.000409,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.061132,-0.048190,0.000829,0.000252
1770509238.495375,-0.702749,-0.850552,1.851014,3.140719,-0.067940,-0.320177,-0.013315,0.000407,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.061940,-0.037901,0.000793,0.000250
1770509238.528775,-0.701766,-0.838313,1.851057,3.140734,-0.067233,-0.328128,-0.013115,0.000413,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.062656,-0.028000,0.000757,0.000248
1770509238.562039,-0.701110,-0.830844,1.851092,3.140750,-0.065928,-0.329616,-0.012917,0.000418,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.063350,-0.017707,0.000717,0.000246
1770509238.595347,-0.700073,-0.817541,1.851114,3.140766,-0.065155,-0.337851,-0.012695,0.000422,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.063971,-0.007753,0.000674,0.000243
1770509238.628659,-0.699315,-0.808803,1.851088,3.140782,-0.063538,-0.338610,-0.012518,0.000418,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.064582,0.002692,0.000630,0.000241
1770509238.662026,-0.699160,-0.805485,1.851106,3.140796,-0.061755,-0.334917,-0.012343,0.000416,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.065124,0.012858,0.000591,0.000238
1770509238.695428,-0.699160,-0.805485,1.851106,3.140796,-0.061755,-0.334917,-0.012343,0.000416,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.065546,0.022118,0.000552,0.000236
1770509238.728650,-0.698316,-0.791000,1.851171,3.140812,-0.060416,-0.342228,-0.011978,0.000411,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.065925,0.030452,0.000516,0.000234
1770509238.762099,-0.697508,-0.777572,1.851171,3.140826,-0.059492,-0.349945,-0.011710,0.000412,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.066278,0.039498,0.000472,0.000231
1770509238.795285,-0.697136,-0.770435,1.851209,3.140841,-0.058201,-0.350710,-0.011480,0.000415,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.066621,0.049115,0.000429,0.000229
1770509238.828680,-0.696589,-0.758176,1.851234,3.140855,-0.057188,-0.357446,-0.011200,0.000420,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.066904,0.058405,0.000382,0.000226
1770509238.862023,-0.696321,-0.751439,1.851247,3.140869,-0.055941,-0.357982,-0.011004,0.000426,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.067159,0.068100,0.000333,0.000224
1770509238.895312,-0.695344,-0.733616,1.851158,3.140900,-0.053785,-0.362654,-0.010660,0.000431,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.067356,0.077415,0.000286,0.000220
1770509238.928629,-0.695344,-0.733616,1.851158,3.140900,-0.053785,-0.362654,-0.010660,0.000431,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.067519,0.087507,0.000249,0.000216
1770509238.961965,-0.695032,-0.716148,1.851198,3.140927,-0.050955,-0.366221,-0.010133,0.000430,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.067666,0.096589,0.000217,0.000212
1770509238.995299,-0.695032,-0.716148,1.851198,3.140927,-0.050955,-0.366221,-0.010133,0.000430,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.067700,0.106391,0.000176,0.000208
1770509239.028683,-0.695297,-0.704133,1.851310,3.140939,-0.048978,-0.370779,-0.009665,0.000419,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.067730,0.115212,0.000139,0.000203
1770509239.061983,-0.694892,-0.684489,1.851202,3.140966,-0.046591,-0.376883,-0.009258,0.000421,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.067648,0.124366,0.000086,0.000200
1770509239.095277,-0.695205,-0.679676,1.851279,3.140977,-0.044851,-0.374000,-0.008992,0.000413,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.067503,0.134526,0.000047,0.000195
1770509239.128684,-0.695484,-0.669768,1.851295,3.140989,-0.043151,-0.376665,-0.008678,0.000409,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.067270,0.143942,-0.000002,0.000190
1770509239.162055,-0.695612,-0.663794,1.851288,3.141001,-0.041530,-0.373940,-0.008484,0.000403,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.066963,0.153366,-0.000051,0.000186
1770509239.195400,-0.695682,-0.660246,1.851267,3.141012,-0.039880,-0.367566,-0.008355,0.000393,-0.750000,-0.750000,1.850000,3.141593,0.000000,0.000000,0.000000,0.000000,0.066604,0.162222,-0.000097,0.000181
