time,ksp_x,ksd_x,kp_x,error_x,osc_x,ksp_y,ksd_y,kp_y,error_y,osc_y,ksp_z,ksd_z,kp_z,error_z,osc_z,ksp_psi,ksd_psi,kp_psi,error_psi,osc_psi
1770505956.5720315,0.6,1.5,0.3,0.0,0.0,0.6,1.5,0.3,0.0,0.0,2.5,5.5,0.8,0.0,0.0,3.0,7.5,0.6,0.0,0.0
1770505966.5718606,0.6125999999999999,1.5,0.309,0.44448121100299093,5,0.6125999999999999,1.5,0.309,0.35456012098477063,4,2.5,5.632,0.776,0.025688636238088015,1,3.0629999999999997,7.5,0.618,0.1511910045575253,0
1770505976.572056,0.6254645999999998,1.5,0.31827,0.5839005087883438,4,0.6254645999999998,1.5,0.31827,0.20216120909139795,0,2.5,5.767168,0.7527200000000001,0.03191133061985118,1,3.1273229999999996,7.5,0.63654,0.33200557254768226,0
1770505986.571791,0.6385993565999998,1.5,0.3278181,0.24134606351048224,1,0.6385993565999998,1.5,0.3278181,0.715481401035972,0,2.5,5.905580032,0.7301384000000001,0.06673897197841033,1,3.1929967829999994,7.5,0.6556362,1.0715641514097964,0
1770505996.5719323,0.6385993565999998,1.536,0.317983557,0.7020706612310001,1,0.6520099430885997,1.5,0.33765264300000003,0.1549894437065565,1,2.5,6.0473139527679995,0.708234248,0.06241803464017996,1,3.1929967829999994,7.68,0.635967114,5.504335414686627,0
1770506006.5719824,0.6520099430885997,1.536,0.32752306371,0.2807974730998882,1,0.6657021518934603,1.5,0.34778222229000005,0.31857578499563044,4,2.5,6.0473139527679995,0.708234248,0.030624581593846956,2,3.1929967829999994,7.86432,0.6168881005799999,0.29500549587949326,0
1770506016.5719163,0.6657021518934603,1.536,0.3373487556213,0.4171986278313768,3,0.6796818970832229,1.5,0.35821568895870004,0.3046379873792434,2,2.5,6.192449487634431,0.68698722056,0.029375399469237968,2,3.260049715442999,7.86432,0.6353947435973999,0.16838994606647648,0
1770506026.5718818,0.6796818970832229,1.536,0.34746921828993904,0.5730263289781434,6,0.6939552169219705,1.5,0.36896215962746104,0.1753118289922941,1,2.5,6.3410682753376575,0.6663776039431999,0.03811667382566024,1,3.3285107594673016,7.86432,0.6544565859053219,0.4240337003656487,0
1770506036.5723064,0.6939552169219705,1.536,0.35789329483863724,0.19317922832991172,5,0.7085282764773319,1.5,0.3800310244162849,0.5558788735268311,0,2.5,6.493253913945761,0.6463862758249039,0.056106473010761014,1,3.3984094854161144,7.86432,0.6740902834824816,1.0308153343314563,0
1770506046.5721803,0.6939552169219705,1.572864,0.34715649599347814,0.644717699977831,0,0.7085282764773319,1.5,0.3800310244162849,0.09816706568257787,1,2.5,6.649092007880459,0.6269946875501567,0.055123544929649895,1,3.4697760846098524,7.86432,0.6943129919869561,5.833499557262583,0
1770506056.5719683,0.7085282764773319,1.572864,0.3575711908732825,0.2641454471661963,1,0.7234073702833558,1.5,0.39143195514877344,0.24300406693867094,5,2.5,6.649092007880459,0.6269946875501567,0.021577992400659135,2,3.4697760846098524,8.053063680000001,0.6734836022273474,0.18992266536899308,0
1770506066.5718243,0.7234073702833558,1.572864,0.368298326599481,0.3979055871863123,3,0.7385989250593061,1.5,0.40317491380323667,0.24274173305228197,3,2.5,6.808670216069591,0.608184846923652,0.027906178379875482,2,3.542641382386659,8.053063680000001,0.6936881102941678,0.15949421028762473,0
1770506076.5719552,0.7385989250593061,1.572864,0.3793472763974654,0.49719018083529826,3,0.7541095024855515,1.5,0.4152701612173338,0.1691467348858175,0,2.5,6.808670216069591,0.608184846923652,0.03430824480736828,1,3.6170368514167786,8.053063680000001,0.7144987536029929,0.4168524775499418,0
1770506086.5719516,0.7541095024855515,1.572864,0.3907276946893894,0.16480878877134703,5,0.7699458020377481,1.5,0.42772826605385383,0.5241566019226053,0,2.5,6.972078301255261,0.5899393015159424,0.06606274339403034,1,3.6929946252965307,8.053063680000001,0.7359337162110827,1.2054718468869376,0
1770506096.5718853,0.7541095024855515,1.610612736,0.3790058638487077,0.563725893964442,0,0.7699458020377481,1.5,0.42772826605385383,0.07822691391440456,1,2.5,7.139408180485388,0.5722411224704641,0.06301722770479697,1,3.6929946252965307,8.246337208320002,0.7138557047247502,5.449153501480651,0
1770506106.5719094,0.7699458020377481,1.610612736,0.39037603976416896,0.2751262720527567,1,0.7861146638805407,1.5,0.44056011403546946,0.23191969096783122,6,2.5,7.139408180485388,0.5722411224704641,0.03136949666875933,2,3.6929946252965307,8.444249301319681,0.6924400335830078,0.48302333349753523,0
1770506116.5719817,0.7861146638805407,1.610612736,0.40208732095709404,0.3538122548335872,1,0.8026230718220321,1.5,0.45377691745653354,0.21795328437273678,6,2.5,7.310753976817037,0.5550738887963501,0.030795064508575387,2,3.7705475124277577,8.444249301319681,0.713213234590498,0.16532221001178585,0
1770506126.5719295,0.8026230718220321,1.610612736,0.4141499405858069,0.4617394572993494,2,0.8194781563302946,1.5,0.46739022498022953,0.14822715627497982,3,2.5,7.310753976817037,0.5550738887963501,0.04156735548440142,1,3.84972901018874,8.444249301319681,0.734609631628213,0.4229081666305,0
1770506136.571889,0.8194781563302946,1.610612736,0.42657443880338114,0.13740282730594308,6,0.8366871976132307,1.5,0.4814119317296364,0.4375521084115456,3,2.5,7.486212072260646,0.5384216721324596,0.06396209193100112,1,3.9305733194027033,8.444249301319681,0.7566479205770594,1.2433051437789815,0
1770506146.5719507,0.8194781563302946,1.649267441664,0.4137772056392797,0.5125748073126118,2,0.8366871976132307,1.5,0.4814119317296364,0.07458496336658355,2,2.5,7.6658811619949025,0.5222690219684858,0.06611578118045279,1,3.9305733194027033,8.646911284551354,0.7339484829597476,5.727858238890979,0
1770506156.5720181,0.8366871976132307,1.649267441664,0.4261905218084581,0.2523702280618895,3,0.8542576287631085,1.5,0.4958542896815255,0.2136690631476092,6,2.5,7.6658811619949025,0.5222690219684858,0.03263513132031756,4,3.9305733194027033,8.854437155380587,0.7119300284709551,0.6106373100509013,0
1770506166.57188,0.8542576287631085,1.649267441664,0.43897623746271186,0.3192131756672311,1,0.8721970389671337,1.5,0.5107299183719712,0.1695539742124745,5,2.5,7.849862309882781,0.5066009513094312,0.030228454824169155,4,4.0,8.854437155380587,0.7332879293250838,0.1597886049777104,0
1770506176.5720663,0.8721970389671337,1.649267441664,0.45214552458659324,0.4330542658505526,4,0.8905131767854435,1.5,0.5260518159231304,0.13105484923760763,3,2.5,7.849862309882781,0.5066009513094312,0.04568986853802351,1,4.0,8.854437155380587,0.7552865672048363,0.30345314543230967,0
1770506186.5718718,0.8905131767854435,1.649267441664,0.465709890324191,0.13516262926975287,4,0.9092139534979378,1.5,0.5418333704008244,0.3567608836844502,3,2.5,8.038259005319967,0.49140292277014824,0.06715732269719808,3,4.0,8.854437155380587,0.7779451642209815,1.309851173352262,0
1770506196.572073,0.8905131767854435,1.6888498602639361,0.4517385936144653,0.45080956618119244,1,0.9092139534979378,1.5,0.5418333704008244,0.06669406174434232,3,2.5,8.231177221447647,0.47666083508704377,0.07109745727480106,1,4.0,9.066943647109722,0.754606809294352,5.643400090416706,0
1770506206.572017,0.9092139534979378,1.6888498602639361,0.4652907514228993,0.2197426387040239,5,0.9283074465213944,1.5,0.5580883715128491,0.21488976649320227,6,2.5,8.231177221447647,0.47666083508704377,0.03474007930956722,4,4.0,9.066943647109722,0.7772450135731825,0.8130021653713911,0
1770506216.572084,0.9283074465213944,1.6888498602639361,0.47924947396558626,0.27996705544778083,3,0.9478019028983437,1.5,0.5748310226582346,0.15291311281071318,7,2.5,8.428725474762391,0.4623610100344324,0.030126818428207917,2,4.0,9.066943647109722,0.8005623639803781,0.15283240642067236,0
1770506226.5718331,0.9478019028983437,1.6888498602639361,0.4936269581845539,0.3468403330860242,4,0.9677057428592087,1.5,0.5920759533379817,0.13244013894140963,3,2.5,8.428725474762391,0.4623610100344324,0.04599949254453756,1,4.0,9.066943647109722,0.8245792348997895,0.30910048549882835,0
1770506236.5721302,0.9478019028983437,1.6888498602639361,0.4936269581845539,0.09774659366348913,4,0.9677057428592087,1.536,0.5743136747378422,0.34197647949331106,4,2.5,8.631014886156688,0.44849017973339944,0.06378691569723624,1,4.0,9.066943647109722,0.8493166119467832,1.47711869234171,0
1770506246.5718212,0.9478019028983437,1.7293822569102706,0.47881814943901724,0.41238169558027293,4,0.9677057428592087,1.536,0.5743136747378422,0.06483238356639977,4,2.5,8.838159243424448,0.43503547434139744,0.07091169670693118,1,4.0,9.284550294640356,0.8238371135883796,5.828054504742457,0
1770506256.5718904,0.9677057428592087,1.7293822569102706,0.4931826939221878,0.21202115730427779,4,0.988027563459252,1.536,0.5915430849799775,0.223893141005389,5,2.5,8.838159243424448,0.43503547434139744,0.03583974319317156,4,4.0,9.284550294640356,0.8485522269960311,0.6165968481315774,0
1770506266.57197,0.988027563459252,1.7293822569102706,0.5079781747398534,0.2556198310721432,3,0.988027563459252,1.572864,0.5737967924305782,0.15758119119238606,5,2.5,9.050275065266634,0.4219844101111555,0.032066011655462745,2,4.0,9.284550294640356,0.874008793805912,0.14398246517807736,0
1770506276.571982,0.988027563459252,1.7708874310761171,0.4927388294976578,0.3503788432815376,5,1.0087761422918962,1.572864,0.5910106962034956,0.12454862879298287,5,2.5,9.050275065266634,0.4219844101111555,0.04829495521983843,1,4.0,9.284550294640356,0.9002290576200894,0.2776313952091816,0
1770506286.5719807,1.0087761422918962,1.7708874310761171,0.5075209943825876,0.10545392883697992,6,1.0087761422918962,1.610612736,0.5732803753173906,0.3145617592462333,5,2.5,9.267481666833033,0.40932487780782084,0.06795322900280511,1,4.0,9.284550294640356,0.9272359293486921,1.686789713521403,0
