time,x,y,z,yaw,linx,liny,linz,yaw_rate,xd,yd,zd,yawd,vxd,vyd,vzd,wyawd,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1770093516.034158,-0.748521,-0.583243,1.899761,3.108077,-0.107990,0.512487,0.123229,0.020097,0,0,0,0,0,0,0,0,0.124764,-0.456092,0.027049,0.015699
1770093516.067505,-0.747133,-0.589198,1.900823,3.109267,-0.106580,0.503104,0.120187,0.021788,0,0,0,0,0,0,0,0,0.127284,-0.458938,0.025918,0.015403
1770093516.100849,-0.744851,-0.599411,1.901350,3.110417,-0.106283,0.498362,0.116692,0.023111,0,0,0,0,0,0,0,0,0.129638,-0.461008,0.024733,0.015093
1770093516.134182,-0.743863,-0.603480,1.902853,3.111482,-0.105001,0.490246,0.115157,0.024937,0,0,0,0,0,0,0,0,0.132169,-0.463715,0.023523,0.014769
1770093516.167495,-0.741670,-0.613759,1.904009,3.112598,-0.104389,0.484731,0.112269,0.025622,0,0,0,0,0,0,0,0,0.134470,-0.465578,0.022282,0.014437
1770093516.200844,-0.740620,-0.618441,1.904418,3.113616,-0.102618,0.474741,0.108717,0.026276,0,0,0,0,0,0,0,0,0.136888,-0.468024,0.020996,0.014097
1770093516.234177,-0.739046,-0.625978,1.905833,3.114605,-0.101665,0.468551,0.106773,0.026860,0,0,0,0,0,0,0,0,0.139025,-0.469482,0.019702,0.013751
1770093516.267486,-0.737978,-0.631102,1.906725,3.115588,-0.099495,0.457041,0.103338,0.026854,0,0,0,0,0,0,0,0,0.141123,-0.471060,0.018379,0.013403
1770093516.300832,-0.736577,-0.638343,1.907113,3.116518,-0.097693,0.447676,0.099361,0.026621,0,0,0,0,0,0,0,0,0.142915,-0.471594,0.017021,0.013052
1770093516.334184,-0.735978,-0.641342,1.908206,3.117397,-0.095247,0.435415,0.096599,0.026521,0,0,0,0,0,0,0,0,0.144546,-0.471842,0.015652,0.012700
1770093516.367536,-0.735082,-0.646595,1.908732,3.118256,-0.093251,0.426027,0.093350,0.026376,0,0,0,0,0,0,0,0,0.145786,-0.470740,0.014258,0.012351
1770093516.400845,-0.734785,-0.648391,1.908827,3.119062,-0.091053,0.415587,0.090179,0.026580,0,0,0,0,0,0,0,0,0.146796,-0.469206,0.012869,0.012004
1770093516.434133,-0.733744,-0.655206,1.910104,3.119921,-0.088086,0.402253,0.086470,0.025690,0,0,0,0,0,0,0,0,0.147456,-0.466579,0.011515,0.011661
1770093516.467457,-0.733730,-0.655892,1.910265,3.120653,-0.085298,0.389394,0.083048,0.025379,0,0,0,0,0,0,0,0,0.147831,-0.463350,0.010095,0.011319
1770093516.500811,-0.733603,-0.658448,1.910343,3.121388,-0.082796,0.379201,0.079784,0.025160,0,0,0,0,0,0,0,0,0.147780,-0.458664,0.008702,0.010984
1770093516.534164,-0.733537,-0.659817,1.910898,3.122102,-0.080220,0.367704,0.077088,0.024865,0,0,0,0,0,0,0,0,0.147412,-0.453362,0.007343,0.010654
1770093516.567477,-0.733582,-0.662237,1.911211,3.122797,-0.077367,0.356556,0.073932,0.024363,0,0,0,0,0,0,0,0,0.146734,-0.447123,0.006000,0.010331
1770093516.600867,-0.733703,-0.663044,1.911284,3.123450,-0.074613,0.344641,0.070701,0.023904,0,0,0,0,0,0,0,0,0.145721,-0.440261,0.004674,0.010013
1770093516.634231,-0.734171,-0.663839,1.911530,3.124074,-0.071766,0.334131,0.068077,0.023589,0,0,0,0,0,0,0,0,0.144401,-0.432466,0.003377,0.009702
1770093516.667474,-0.734303,-0.665079,1.911779,3.124709,-0.068702,0.321072,0.064702,0.022860,0,0,0,0,0,0,0,0,0.142735,-0.424037,0.002113,0.009398
1770093516.700816,-0.735130,-0.664680,1.911689,3.125275,-0.065590,0.309946,0.061838,0.022485,0,0,0,0,0,0,0,0,0.140781,-0.414733,0.000856,0.009101
1770093516.734143,-0.735545,-0.664738,1.911772,3.125853,-0.062796,0.298453,0.058990,0.022002,0,0,0,0,0,0,0,0,0.138442,-0.404660,-0.000356,0.008812
1770093516.767488,-0.736542,-0.664087,1.911749,3.126399,-0.059530,0.287116,0.056243,0.021572,0,0,0,0,0,0,0,0,0.135872,-0.393916,-0.001539,0.008530
1770093516.800852,-0.737156,-0.663419,1.911687,3.126926,-0.056887,0.276605,0.053667,0.021226,0,0,0,0,0,0,0,0,0.132926,-0.382476,-0.002685,0.008255
1770093516.834203,-0.738371,-0.662126,1.911547,3.127438,-0.053644,0.265806,0.051094,0.020899,0,0,0,0,0,0,0,0,0.129795,-0.370528,-0.003790,0.007988
1770093516.867598,-0.739025,-0.661877,1.911539,3.127957,-0.050589,0.253639,0.048095,0.020202,0,0,0,0,0,0,0,0,0.126311,-0.357979,-0.004853,0.007727
1770093516.900830,-0.740555,-0.659793,1.911425,3.128429,-0.046840,0.241003,0.045326,0.019595,-0.750000,-0.750000,1.869185,3.141593,0.000000,0.000000,0.000000,0.000000,0.122630,-0.344857,-0.005900,0.007474
1770093516.934168,-0.741433,-0.658531,1.911099,3.128894,-0.043866,0.229252,0.042316,0.018979,-0.750000,-0.750000,1.869185,3.141593,0.000000,0.000000,0.000000,0.000000,0.118523,-0.330854,-0.006918,0.007227
1770093516.967497,-0.743157,-0.656032,1.910900,3.129343,-0.039913,0.215949,0.039418,0.018319,-0.750000,-0.750000,1.869185,3.141593,0.000000,0.000000,0.000000,0.000000,0.114255,-0.316320,-0.007902,0.006988
1770093517.000897,-0.744166,-0.654232,1.910727,3.129767,-0.037068,0.204776,0.036907,0.017778,-0.750000,-0.750000,1.869185,3.141593,0.000000,0.000000,0.000000,0.000000,0.109556,-0.300882,-0.008861,0.006755
1770093517.034177,-0.746017,-0.650974,1.910204,3.130171,-0.033557,0.193577,0.034338,0.017444,-0.750000,-0.750000,1.869185,3.141593,0.000000,0.000000,0.000000,0.000000,0.104751,-0.285055,-0.009789,0.006530
